tweet_id,favorites,retweets,user_followers,user_favourites,date_time
858843525470990336,16045,3671,6629293,132918,2017-05-01 00:40:27
858471635011153920,22224,5120,6629293,132918,2017-04-30 00:02:42
858107933456039936,16245,3083,6629293,132918,2017-04-28 23:57:28
857989990357356544,16665,2735,6629293,132918,2017-04-28 16:08:49
857746408056729600,35424,11237,6629293,132918,2017-04-28 00:00:54
857393404942143489,6123,1728,6629293,132918,2017-04-27 00:38:11
857263160327368704,20687,4801,6629293,132918,2017-04-26 16:00:39
857214891891077121,238,20,6629293,132918,2017-04-26 12:48:51
857062103051644929,0,179,6629293,132918,2017-04-26 02:41:43
857029823797047296,19587,4256,6629293,132918,2017-04-26 00:33:27
856602993587888130,0,11334,6629293,132918,2017-04-24 20:17:23
856543823941562368,16875,3064,6629293,132918,2017-04-24 16:22:16
856526610513747968,12255,2006,6629293,132918,2017-04-24 15:13:52
856330835276025856,0,720,6629293,132918,2017-04-24 02:15:55
856288084350160898,535,17,6629293,132918,2017-04-23 23:26:03
856282028240666624,28659,6716,6629293,132918,2017-04-23 23:01:59
855862651834028034,363,28,6629293,132918,2017-04-22 19:15:32
855860136149123072,5109,1104,6629293,132918,2017-04-22 19:05:32
855857698524602368,12276,2253,6629293,132918,2017-04-22 18:55:51
855851453814013952,47125,18806,6629293,132918,2017-04-22 18:31:02
855818117272018944,27610,5806,6629293,132918,2017-04-22 16:18:34
855459453768019968,31142,8789,6629293,132918,2017-04-21 16:33:22
855245323840757760,0,6374,6629293,132918,2017-04-21 02:22:29
855138241867124737,0,49,6629293,132918,2017-04-20 19:16:59
854732716440526848,23773,6527,6629293,132918,2017-04-19 16:25:34
854482394044301312,30581,7379,6629293,132918,2017-04-18 23:50:52
854365224396361728,19703,5030,6629293,132918,2017-04-18 16:05:17
854120357044912130,33317,8046,6629293,132918,2017-04-17 23:52:16
854010172552949760,16888,3364,6629293,132918,2017-04-17 16:34:26
853760880890318849,29910,6230,6629293,132918,2017-04-17 00:03:50
853639147608842240,36524,10920,6629293,132918,2017-04-16 16:00:07
853299958564483072,16256,3829,6629293,132918,2017-04-15 17:32:18
852936405516943360,0,2180,6629293,132918,2017-04-14 17:27:40
852912242202992640,9477,1984,6629293,132918,2017-04-14 15:51:39
852672615818899456,15659,2313,6629293,132918,2017-04-13 23:59:28
852553447878664193,17189,3783,6629293,132918,2017-04-13 16:05:56
852311364735569921,34767,10685,6629295,132918,2017-04-13 00:03:59
852226086759018497,20995,7369,6629295,132918,2017-04-12 18:25:07
852189679701164033,12027,1706,6629295,132918,2017-04-12 16:00:27
851953902622658560,0,10421,6629296,132918,2017-04-12 00:23:33
851861385021730816,0,23,6629296,132918,2017-04-11 18:15:55
851591660324737024,17031,3741,6629296,132918,2017-04-11 00:24:08
851464819735769094,25523,7643,6629296,132918,2017-04-10 16:00:07
851224888060895234,21739,6192,6629296,132918,2017-04-10 00:06:42
850753642995093505,32736,10076,6629296,132918,2017-04-08 16:54:09
850380195714523136,13750,2827,6629296,132918,2017-04-07 16:10:12
850333567704068097,3596,362,6629296,132918,2017-04-07 13:04:55
850145622816686080,17223,4138,6629296,132918,2017-04-07 00:38:06
850019790995546112,21585,5315,6629296,132918,2017-04-06 16:18:05
849776966551130114,32147,8258,6629296,132918,2017-04-06 00:13:11
849668094696017920,0,5394,6629296,132918,2017-04-05 17:00:34
849412302885593088,16759,3404,6629296,132918,2017-04-05 00:04:08
849336543269576704,12072,2052,6629296,132918,2017-04-04 19:03:06
849051919805034497,44793,9280,6629296,132918,2017-04-04 00:12:06
848690551926992896,26656,4693,6629296,132918,2017-04-03 00:16:10
848324959059550208,26185,5007,6629296,132918,2017-04-02 00:03:26
848213670039564288,8658,814,6629296,132918,2017-04-01 16:41:12
848212111729840128,17299,3356,6629296,132918,2017-04-01 16:35:01
847978865427394560,0,3553,6629296,132918,2017-04-01 01:08:10
847971574464610304,0,467,6629296,132918,2017-04-01 00:39:12
847962785489326080,24864,5587,6629297,132918,2017-04-01 00:04:17
847842811428974592,5823,1469,6629297,132918,2017-03-31 16:07:33
847617282490613760,7429,457,6629297,132918,2017-03-31 01:11:22
847606175596138505,19858,3679,6629297,132918,2017-03-31 00:27:14
847251039262605312,21639,4671,6629297,132918,2017-03-30 00:56:03
847157206088847362,21195,6390,6629297,132918,2017-03-29 18:43:12
847116187444137987,22718,3484,6629297,132918,2017-03-29 16:00:12
846874817362120707,21297,4291,6629297,132918,2017-03-29 00:01:05
846514051647705089,47479,12689,6629297,132918,2017-03-28 00:07:32
846505985330044928,15028,3389,6629297,132918,2017-03-27 23:35:28
846153765933735936,33737,9898,6629297,132918,2017-03-27 00:15:53
846139713627017216,32718,10728,6629297,132918,2017-03-26 23:20:02
846042936437604353,16991,3145,6629297,132918,2017-03-26 16:55:29
845812042753855489,31145,9573,6629297,132918,2017-03-26 01:38:00
845677943972139009,26683,5227,6629297,132918,2017-03-25 16:45:08
845397057150107648,8107,2002,6629297,132918,2017-03-24 22:08:59
845306882940190720,24797,5899,6629297,132918,2017-03-24 16:10:40
845098359547420673,0,8412,6629297,132918,2017-03-24 02:22:04
844979544864018432,14491,2834,6629297,132918,2017-03-23 18:29:57
844973813909606400,16099,3520,6629297,132918,2017-03-23 18:07:10
844704788403113984,41252,11334,6629297,132918,2017-03-23 00:18:10
844580511645339650,17535,3433,6629297,132918,2017-03-22 16:04:20
844223788422217728,14511,2401,6629297,132918,2017-03-21 16:26:50
843981021012017153,16070,3201,6629298,132918,2017-03-21 00:22:10
843856843873095681,22805,5081,6629298,132918,2017-03-20 16:08:44
843604394117681152,17991,3000,6629298,132918,2017-03-19 23:25:35
843235543001513987,22912,6646,6629299,132918,2017-03-18 22:59:54
842846295480000512,16200,3926,6629299,132918,2017-03-17 21:13:10
842765311967449089,7199,1406,6629300,132918,2017-03-17 15:51:22
842535590457499648,19290,3840,6629300,132918,2017-03-17 00:38:32
842163532590374912,26132,6374,6629300,132918,2017-03-16 00:00:07
842115215311396866,14957,3315,6629300,132918,2017-03-15 20:48:07
841833993020538882,0,16955,6629300,132918,2017-03-15 02:10:39
841680585030541313,27358,8529,6629300,132918,2017-03-14 16:01:03
841439858740625411,13504,4053,6629301,132918,2017-03-14 00:04:30
841320156043304961,21072,5964,6629302,132918,2017-03-13 16:08:50
841314665196081154,16969,5176,6629302,132918,2017-03-13 15:47:01
841077006473256960,24500,5830,6629302,132918,2017-03-13 00:02:39
840761248237133825,0,1936,6629302,132918,2017-03-12 03:07:56
840728873075638272,0,17824,6629302,132918,2017-03-12 00:59:17
840698636975636481,195,3,6629302,132918,2017-03-11 22:59:09
840696689258311684,13158,1089,6629302,132918,2017-03-11 22:51:24
840632337062862849,9603,1936,6629302,132918,2017-03-11 18:35:42
840370681858686976,17608,5024,6629302,132918,2017-03-11 01:15:58
840268004936019968,20612,6319,6629302,132918,2017-03-10 18:27:58
839990271299457024,14376,2534,6629302,132918,2017-03-10 00:04:21
839549326359670784,29476,8583,6629302,132918,2017-03-08 18:52:12
839290600511926273,0,156,6629303,132918,2017-03-08 01:44:07
839239871831150596,29133,7224,6629303,132918,2017-03-07 22:22:32
838952994649550848,21004,4397,6629303,132918,2017-03-07 03:22:35
838921590096166913,11969,2293,6629303,132918,2017-03-07 01:17:48
838916489579200512,0,37,6629303,132918,2017-03-07 00:57:32
838831947270979586,0,12255,6629303,132918,2017-03-06 19:21:35
838561493054533637,11693,1469,6629303,132918,2017-03-06 01:26:54
838476387338051585,24236,5327,6629303,132918,2017-03-05 19:48:43
838201503651401729,0,11200,6629303,132918,2017-03-05 01:36:26
838150277551247360,1795,359,6629303,132918,2017-03-04 22:12:52
838085839343206401,148,0,6629303,132918,2017-03-04 17:56:49
838083903487373313,18891,3481,6629303,132918,2017-03-04 17:49:08
837820167694528512,36677,8708,6629303,132918,2017-03-04 00:21:08
837482249356513284,4132,490,6629303,132918,2017-03-03 01:58:22
837471256429613056,13746,2559,6629303,132918,2017-03-03 01:14:41
837366284874571778,22664,5856,6629303,132918,2017-03-02 18:17:34
837110210464448512,17173,2657,6629304,132918,2017-03-02 01:20:01
836989968035819520,13651,2546,6629304,132918,2017-03-01 17:22:13
836753516572119041,20650,5104,6629304,132918,2017-03-01 01:42:39
836677758902222849,13531,2456,6629305,132918,2017-02-28 20:41:37
836648853927522308,0,611,6629305,132918,2017-02-28 18:46:45
836397794269200385,0,30546,6629305,132918,2017-02-28 02:09:08
836380477523124226,15799,3257,6629305,132918,2017-02-28 01:00:19
836260088725786625,22793,4743,6629305,132918,2017-02-27 17:01:56
836001077879255040,20530,4788,6629306,132918,2017-02-26 23:52:43
835685285446955009,0,9081,6629306,132918,2017-02-26 02:57:52
835574547218894849,19135,4018,6629306,132918,2017-02-25 19:37:50
835536468978302976,0,1887,6629306,132918,2017-02-25 17:06:32
835309094223372289,0,23355,6629306,132918,2017-02-25 02:03:02
835297930240217089,17597,3311,6629306,132918,2017-02-25 01:18:40
835264098648616962,8345,1887,6629306,132918,2017-02-24 23:04:14
835246439529840640,2237,81,6629306,132918,2017-02-24 21:54:03
835172783151792128,28066,6374,6629306,132918,2017-02-24 17:01:22
835152434251116546,24132,3365,6629306,132918,2017-02-24 15:40:31
834931633769889797,11645,1833,6629306,132918,2017-02-24 01:03:08
834786237630337024,22660,6049,6629306,132918,2017-02-23 15:25:23
834574053763584002,14742,2811,6629306,132918,2017-02-23 01:22:14
